You are a useful system that helps people to decide whether they are eligible for a welfare benefit.

You will be presented with a comma-separated list of features describing the person that applied for the benefit. The features' names are as follows: {names}.

An exemplary CSV file that describes the individuals that applied for the benefit, alongside whether the benefit is to be approved (the "eligible" column) is as follows:

age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible
93,m,yes,yes,yes,yes,yes,True,False,2846,out,73,True
85,f,yes,yes,yes,yes,yes,True,False,400,out,75,True
88,f,yes,yes,yes,yes,yes,True,False,2550,in,23,True
69,m,yes,no,yes,yes,yes,True,False,2972,out,68,True
83,f,yes,no,yes,yes,yes,True,False,43,out,68,True
65,m,yes,yes,yes,yes,yes,True,False,1729,out,90,True
93,m,yes,yes,yes,yes,yes,True,False,2060,out,86,True
87,f,yes,no,yes,yes,yes,True,False,330,in,35,True
89,m,yes,yes,yes,yes,yes,True,False,2970,in,17,True
68,f,no,yes,no,no,yes,False,False,5360,in,14,False
4,f,yes,yes,yes,no,no,True,True,7640,in,54,False
79,m,yes,yes,yes,no,yes,True,False,1655,out,81,True
44,m,yes,no,yes,yes,yes,False,False,2151,out,26,False
64,m,yes,yes,no,no,no,False,True,9023,in,3,False
70,m,no,yes,yes,no,no,True,True,6145,out,62,False
89,m,no,yes,no,no,no,True,True,7631,in,44,False
37,m,yes,no,no,yes,yes,False,True,7996,in,82,False
75,f,yes,no,yes,yes,yes,True,False,481,out,98,True
92,m,yes,yes,yes,yes,yes,True,False,31,out,56,True
91,f,yes,yes,yes,yes,no,True,False,213,out,77,True
66,f,yes,yes,yes,yes,yes,True,False,1306,in,24,True
81,f,yes,yes,no,yes,yes,True,False,1055,in,21,True
83,f,yes,yes,yes,yes,yes,True,False,2876,out,78,True
79,m,no,yes,yes,yes,yes,True,False,1523,out,71,True
10,f,yes,yes,no,no,no,False,False,1616,in,59,False
85,m,yes,yes,yes,no,yes,True,False,554,out,73,True
99,f,yes,yes,yes,yes,yes,True,False,1570,out,98,True
78,f,yes,yes,yes,yes,yes,True,False,687,in,27,True
97,m,yes,yes,yes,yes,yes,True,False,1782,out,92,True
87,f,yes,yes,no,yes,yes,True,False,1600,in,23,True
95,f,yes,no,yes,yes,yes,True,False,2070,in,3,True
25,f,yes,no,yes,no,no,True,True,2056,out,26,False
68,f,yes,yes,yes,yes,yes,True,False,1350,out,58,True
9,m,no,no,no,no,no,False,True,8730,out,43,False
54,f,no,no,no,no,yes,True,True,894,out,49,False
87,f,yes,yes,yes,no,yes,True,False,1627,out,64,True
84,m,yes,yes,yes,yes,yes,True,False,356,in,36,True
79,m,yes,yes,yes,yes,yes,True,False,1207,in,7,True
55,m,no,yes,yes,yes,yes,False,True,3160,out,69,False
45,m,no,no,no,no,no,False,False,6509,in,67,False
21,m,no,yes,no,yes,yes,True,False,8381,out,13,False
88,m,no,yes,yes,yes,yes,True,False,721,in,8,True
75,f,no,no,yes,yes,yes,False,True,6514,out,95,False
39,f,yes,no,no,no,yes,True,True,2080,out,8,False
66,m,yes,no,yes,yes,yes,True,False,2760,in,14,True
24,m,yes,yes,yes,yes,no,False,True,2870,in,33,False
89,m,yes,yes,yes,no,yes,True,False,324,in,10,True
80,f,no,no,no,no,no,True,True,4698,out,48,False
89,f,yes,yes,yes,yes,yes,True,False,273,in,2,True
27,m,yes,no,no,no,no,False,True,943,in,2,False
90,f,yes,yes,yes,yes,yes,True,False,741,in,14,True
98,m,yes,yes,yes,yes,no,True,False,1891,out,57,True
84,f,yes,yes,yes,yes,yes,True,False,731,out,59,True
62,f,yes,yes,yes,yes,yes,True,False,1859,in,43,True
85,f,yes,yes,no,yes,yes,True,False,269,in,8,True
17,m,no,yes,yes,yes,yes,False,False,9379,out,68,False
57,m,no,no,no,no,no,False,False,4336,out,2,False
62,f,yes,yes,yes,yes,yes,True,False,12,in,3,True
9,m,no,yes,yes,no,no,True,True,1246,out,71,False
7,m,no,no,yes,no,yes,False,False,5064,out,31,False
9,m,yes,yes,yes,no,yes,False,True,5492,in,52,False
96,f,no,yes,yes,no,no,True,True,81,out,45,False
91,f,no,no,no,no,no,True,False,3832,out,2,False
93,m,yes,yes,no,no,yes,False,True,2428,out,7,False
39,m,no,no,no,yes,yes,True,True,2699,in,95,False
68,f,yes,yes,yes,yes,yes,True,False,2500,in,25,True
100,m,yes,yes,yes,no,no,True,True,2077,out,70,False
24,f,yes,no,yes,yes,no,False,False,4549,out,35,False
86,m,yes,yes,yes,yes,yes,True,False,2770,out,60,True
83,m,yes,yes,yes,yes,yes,True,False,270,in,28,True
71,f,yes,yes,yes,no,no,True,False,8501,out,10,False
50,f,yes,yes,no,yes,yes,True,False,9262,in,59,False
77,f,no,no,no,yes,yes,True,True,173,out,48,False
81,m,no,yes,yes,yes,yes,True,False,2200,in,6,True
31,m,no,yes,yes,no,yes,False,False,6415,in,50,False
65,f,no,yes,yes,no,no,False,True,7263,in,8,False
58,f,no,yes,no,no,no,False,False,582,out,72,False
95,m,yes,yes,yes,yes,yes,True,False,1862,out,81,True
94,m,yes,yes,no,yes,no,False,False,6116,in,50,False
20,f,no,yes,yes,yes,yes,True,True,8911,out,40,False
75,f,yes,yes,yes,yes,yes,True,False,2290,out,84,True
18,m,no,yes,no,no,no,True,False,8820,in,41,False
85,f,yes,yes,yes,yes,yes,True,False,540,out,82,True
18,m,yes,no,no,no,yes,False,True,586,out,30,False
97,m,yes,no,yes,yes,yes,True,False,1745,out,94,True
30,f,no,yes,yes,yes,no,False,False,1116,in,0,False
81,f,no,yes,yes,yes,yes,True,False,1849,out,74,True
24,f,no,no,no,no,yes,False,False,5262,out,26,False
61,f,yes,no,yes,yes,no,True,False,7956,in,82,False
5,f,yes,no,no,no,no,True,False,5973,out,54,False
91,f,yes,no,no,yes,no,False,False,5599,out,58,False
68,f,yes,yes,yes,yes,yes,True,False,2773,out,82,True
86,f,yes,yes,yes,yes,no,True,False,1002,in,20,True
53,f,no,yes,no,no,yes,True,True,831,in,88,False
5,f,no,no,yes,no,yes,False,False,200,out,4,False
95,m,yes,yes,yes,yes,yes,True,False,1940,in,7,True
27,m,yes,yes,yes,no,no,False,True,4594,in,45,False
95,m,yes,yes,yes,yes,no,True,False,420,out,91,True
67,m,yes,yes,yes,no,yes,True,False,2334,out,66,True
4,f,no,yes,no,no,yes,False,True,7559,out,66,False
100,m,yes,no,yes,yes,yes,True,False,65,out,51,True
55,m,yes,yes,yes,yes,no,False,False,2379,in,72,False
82,f,yes,no,yes,yes,no,True,False,1942,out,10,False
86,m,no,yes,no,yes,no,True,True,9918,out,23,False
67,f,no,no,no,yes,no,False,True,5836,out,54,False
77,f,yes,yes,yes,yes,yes,True,False,526,out,65,True
83,m,yes,yes,no,no,no,False,True,8042,in,57,False
53,m,no,yes,no,no,yes,True,True,6002,out,74,False
9,f,yes,no,no,no,yes,True,False,3770,out,64,False
79,f,yes,yes,no,yes,yes,True,False,1451,out,59,True
67,m,yes,yes,yes,no,yes,True,False,910,out,53,True
67,f,yes,yes,yes,yes,yes,True,False,2875,in,28,True
91,m,no,yes,no,yes,yes,False,False,9981,out,18,False
67,f,yes,yes,yes,yes,yes,True,False,1044,in,11,True
16,f,no,yes,no,no,yes,True,True,6770,out,3,False
67,f,yes,yes,yes,no,yes,True,False,1905,out,80,True
78,f,yes,yes,yes,yes,yes,True,False,126,out,83,True
64,f,yes,yes,no,yes,yes,True,False,2357,in,34,True
68,m,yes,no,no,no,no,False,False,420,in,6,False
16,m,no,no,yes,yes,no,True,False,4106,in,78,False
60,f,yes,yes,yes,yes,yes,True,False,352,out,76,True
80,m,yes,no,yes,yes,yes,True,False,2889,out,77,True
78,f,no,yes,no,no,no,False,False,7214,out,7,False
94,f,yes,yes,yes,yes,yes,True,False,2375,out,99,True
0,f,no,no,no,no,no,False,False,6767,in,96,False
38,m,yes,no,no,no,yes,False,False,2655,out,2,False
83,m,yes,yes,yes,yes,no,False,True,5804,out,17,False
80,f,no,yes,yes,yes,yes,True,False,2998,out,78,True
21,f,yes,yes,no,yes,no,False,True,9537,in,93,False
96,m,no,yes,no,yes,yes,True,True,5210,in,70,False
71,f,no,yes,yes,yes,yes,True,False,2193,out,75,True
24,f,yes,no,no,no,yes,False,False,7370,out,57,False
26,m,no,yes,yes,yes,no,True,False,4497,out,100,False
86,m,yes,yes,no,yes,yes,True,False,2792,out,73,True
90,m,no,yes,yes,yes,yes,True,False,2206,out,80,True
100,m,yes,no,yes,no,no,False,True,1619,in,9,False
83,m,yes,yes,yes,no,no,False,True,2521,in,35,False
92,f,yes,no,yes,yes,yes,True,True,6703,in,9,False
81,m,yes,yes,yes,yes,yes,True,False,2895,in,42,True
25,f,yes,yes,yes,no,yes,True,True,8482,out,70,False
91,f,yes,yes,yes,yes,yes,True,False,474,in,15,True
86,m,yes,no,no,no,yes,False,True,983,in,36,False
39,m,yes,no,no,yes,yes,False,True,6111,in,79,False
73,f,yes,yes,yes,yes,no,True,False,2383,in,1,True
99,f,yes,no,yes,yes,yes,True,False,1549,out,55,True
69,m,yes,yes,no,yes,yes,True,False,2486,in,46,True
6,f,no,yes,yes,yes,no,False,False,1824,out,11,False
12,f,no,yes,no,no,yes,False,True,7833,in,43,False
36,f,yes,yes,yes,no,yes,False,True,383,out,91,False
60,f,yes,yes,yes,yes,yes,True,False,1800,in,37,True
67,m,yes,yes,yes,no,yes,True,False,1326,out,65,True
96,m,yes,no,yes,yes,yes,True,False,1844,out,61,True
3,f,no,no,yes,no,yes,True,True,7276,out,40,False
59,f,no,no,no,no,no,False,True,5257,out,97,False
11,m,no,yes,yes,yes,yes,True,True,179,out,2,False
85,f,yes,yes,yes,yes,yes,True,False,1303,in,38,True
81,m,yes,yes,yes,yes,yes,True,False,2222,in,16,True
65,m,yes,yes,yes,yes,yes,True,False,2413,out,64,True
38,f,no,no,no,no,no,False,True,2655,out,49,False
16,m,no,no,no,yes,yes,True,True,3282,out,35,False
50,m,yes,no,yes,yes,yes,False,False,3763,out,96,False
15,f,no,no,no,yes,yes,True,True,3818,out,5,False
70,f,yes,no,no,no,no,False,True,3319,out,11,False
14,m,yes,yes,no,yes,no,True,True,7020,out,26,False
74,m,no,yes,yes,no,yes,True,True,5779,in,74,False
59,m,no,yes,yes,no,yes,False,True,2866,out,4,False
88,f,yes,yes,yes,yes,yes,True,False,2010,out,68,True
69,m,yes,yes,yes,yes,no,True,False,284,out,90,True
84,m,no,no,no,no,no,True,False,9443,in,43,False
100,m,yes,yes,no,yes,yes,True,True,7302,in,88,False
75,f,yes,yes,yes,yes,yes,True,False,1898,in,16,True
71,m,no,yes,yes,yes,yes,True,False,2312,out,64,True
93,f,yes,yes,yes,yes,yes,True,False,748,out,98,True
40,m,yes,yes,no,no,no,False,True,3314,in,56,False
69,f,yes,yes,yes,yes,yes,True,True,6962,in,85,False
66,f,yes,yes,no,yes,yes,True,False,842,out,81,True
18,f,yes,yes,yes,yes,no,False,False,8313,out,79,False
61,f,no,yes,yes,yes,yes,True,False,1997,in,22,True
82,m,no,no,yes,yes,no,False,False,3380,out,45,False
0,m,yes,yes,yes,yes,yes,False,False,7252,out,99,False
89,f,yes,yes,yes,yes,yes,True,False,2785,in,17,True
72,m,no,no,no,no,no,True,False,8691,in,91,False
92,m,no,no,no,no,no,True,True,1690,in,49,False
68,f,yes,yes,no,yes,yes,True,False,277,in,19,True
87,m,yes,yes,yes,yes,yes,True,False,1560,out,82,True
85,f,yes,yes,yes,yes,yes,True,False,1539,in,9,True
96,f,no,no,no,yes,yes,True,True,5090,out,66,False
10,f,no,no,no,no,yes,False,True,7027,in,95,False
44,f,no,no,yes,yes,no,True,True,6815,out,20,False
53,m,no,no,yes,yes,no,True,True,2779,out,89,False
3,m,no,yes,yes,yes,yes,True,True,6916,in,23,False
73,m,no,no,no,no,yes,False,True,951,in,91,False
2,m,no,yes,no,yes,no,False,False,9638,out,16,False
94,m,no,yes,no,no,no,True,True,3239,out,94,False
61,f,yes,yes,yes,yes,yes,True,False,1781,out,88,True
81,f,yes,no,yes,yes,yes,True,False,2959,in,17,True
93,m,no,yes,no,yes,no,False,True,6633,in,9,False
32,f,yes,yes,yes,yes,no,False,True,8765,out,10,False
49,m,yes,yes,no,yes,yes,False,True,578,out,94,False
35,f,no,no,yes,yes,yes,True,False,8951,out,80,False
21,m,yes,yes,no,no,yes,True,True,1763,out,35,False
73,m,yes,yes,yes,yes,yes,True,False,1857,in,3,True
66,m,yes,no,no,no,no,False,False,4927,out,76,False
85,f,yes,no,yes,yes,yes,True,False,47,out,73,True
20,f,yes,no,yes,no,yes,True,False,7469,in,65,False
78,f,no,yes,no,no,yes,False,True,9026,in,28,False
93,f,no,yes,yes,yes,yes,True,False,1030,in,1,True
6,f,no,yes,no,no,no,False,True,238,in,62,False
73,m,no,yes,yes,no,no,False,False,6695,out,66,False
47,f,no,no,no,no,yes,False,True,1322,in,41,False
13,m,yes,no,no,no,no,False,False,8332,out,2,False
28,m,yes,no,yes,no,yes,True,True,4902,out,28,False
99,f,yes,yes,yes,no,yes,True,False,48,in,37,True
45,f,no,no,yes,yes,yes,True,False,2480,out,25,False
51,f,no,yes,yes,yes,no,False,False,5053,out,18,False
17,f,yes,no,no,no,no,False,False,9253,in,52,False
66,f,yes,yes,yes,no,no,True,False,1610,in,69,False
86,m,yes,yes,yes,yes,yes,True,False,825,out,77,True
57,m,no,no,no,yes,yes,False,True,722,in,77,False
55,f,yes,yes,no,yes,yes,False,False,1848,in,98,False
50,m,yes,no,no,yes,yes,False,False,126,out,46,False
99,f,no,yes,no,yes,yes,True,True,9206,out,9,False
3,f,yes,no,yes,yes,yes,False,False,6801,in,65,False
91,f,yes,yes,no,yes,yes,True,False,557,in,17,True
61,f,yes,yes,yes,yes,no,True,False,2523,out,87,True
93,m,yes,yes,yes,yes,yes,True,False,468,in,28,True
58,f,no,yes,yes,no,no,True,False,1367,in,97,False
56,m,no,no,yes,yes,yes,True,False,9865,in,68,False
82,f,yes,no,yes,yes,yes,True,False,2508,in,9,True
72,f,yes,yes,no,yes,yes,True,False,1220,out,58,True
67,m,yes,no,yes,yes,yes,True,False,1844,out,77,True
49,f,no,no,no,no,no,False,False,6521,out,92,False
82,f,yes,yes,yes,yes,yes,True,False,717,out,83,True
80,m,yes,no,yes,yes,yes,True,False,1879,out,85,True
67,m,no,yes,yes,yes,yes,True,False,1729,out,83,True
79,m,no,yes,no,no,yes,False,False,2401,out,48,False
89,f,no,yes,yes,yes,yes,True,False,2161,out,87,True
97,m,yes,yes,yes,yes,yes,True,False,2982,in,29,True
18,m,yes,yes,yes,yes,yes,False,True,8697,out,80,False
21,f,no,yes,yes,no,yes,False,True,9041,in,94,False
28,f,no,yes,no,yes,yes,True,False,9806,in,35,False
84,f,yes,yes,yes,yes,yes,True,False,2319,in,34,True
75,m,yes,yes,no,yes,yes,True,False,1357,in,26,True
86,f,yes,yes,yes,yes,yes,True,False,1171,out,50,True
46,f,no,no,no,no,no,False,True,1780,out,3,False
99,f,no,yes,yes,yes,yes,True,False,2508,out,65,True
93,m,yes,yes,yes,yes,yes,True,False,2719,in,21,True
92,m,yes,yes,yes,no,no,True,True,1262,out,64,False
61,f,no,no,yes,yes,no,False,True,6515,in,75,False
74,m,no,no,yes,yes,yes,True,False,4041,in,44,False
82,m,yes,yes,yes,yes,yes,True,False,1521,in,40,True
62,f,yes,yes,yes,no,yes,True,False,340,in,14,True
100,f,yes,yes,no,yes,yes,True,False,981,out,80,True
26,f,yes,no,no,no,no,True,False,2455,in,67,False
25,m,yes,yes,yes,no,no,False,False,5186,out,44,False
39,m,yes,no,no,yes,no,False,False,4775,in,90,False
69,f,yes,yes,yes,yes,yes,True,False,131,out,54,True
97,m,yes,no,no,yes,no,False,True,1587,in,63,False
16,m,no,no,yes,yes,no,True,True,4981,out,47,False
75,f,yes,yes,yes,yes,yes,True,False,483,in,45,True
82,f,yes,yes,yes,yes,yes,True,False,2532,in,2,True
39,m,yes,yes,yes,yes,no,False,False,9634,in,32,False
14,m,no,no,yes,no,no,True,False,7643,out,44,False
5,f,yes,no,yes,no,no,True,False,3795,out,47,False
82,m,yes,yes,yes,no,yes,True,False,105,out,69,True
81,m,yes,yes,yes,yes,yes,True,False,173,in,11,True
44,m,no,yes,no,yes,yes,False,False,7629,out,62,False
70,m,yes,yes,yes,yes,yes,True,False,102,in,15,True
62,f,no,yes,yes,no,yes,False,False,2742,out,63,False
14,m,no,yes,yes,no,yes,False,True,4279,out,35,False
92,f,yes,yes,yes,yes,yes,True,False,120,out,69,True
57,m,no,yes,no,no,yes,False,False,4146,out,64,False
93,f,yes,yes,yes,yes,yes,True,False,2788,in,35,True
5,f,no,yes,no,no,yes,True,False,7607,in,67,False
99,f,no,yes,yes,yes,yes,True,False,2192,out,51,True
82,f,yes,yes,no,yes,yes,True,False,2295,in,2,True
13,m,no,yes,no,no,yes,True,True,8320,out,59,False
95,m,yes,yes,yes,yes,yes,True,False,1626,in,8,True
79,m,yes,yes,yes,no,yes,True,False,2202,out,71,True
60,m,yes,yes,yes,no,yes,True,True,6928,in,34,False
61,f,yes,yes,yes,yes,no,True,False,626,in,26,True
97,f,yes,yes,yes,yes,no,True,False,2413,out,79,True
77,f,yes,yes,yes,yes,yes,True,False,227,out,72,True
88,m,yes,no,yes,yes,yes,True,False,886,out,63,True
47,f,no,no,no,no,no,False,False,2948,in,70,False
68,m,yes,yes,yes,yes,no,True,False,1030,in,47,True
84,m,yes,yes,yes,yes,no,True,False,2342,in,10,True
87,f,yes,yes,yes,yes,yes,True,False,2471,out,70,True
5,f,no,no,yes,yes,no,False,False,7735,out,30,False
8,f,yes,no,yes,no,yes,True,False,3759,in,51,False
91,m,yes,yes,yes,yes,yes,True,False,397,out,86,True
88,m,yes,yes,no,yes,yes,True,False,572,in,40,True
57,f,yes,no,yes,yes,yes,False,True,2596,out,46,False
95,f,yes,yes,yes,yes,yes,True,False,403,in,4,True
79,m,no,yes,yes,yes,yes,True,False,323,out,88,True
10,f,no,yes,yes,yes,yes,True,False,584,out,96,False
30,m,no,yes,no,no,yes,False,True,3796,out,67,False
8,m,no,no,yes,yes,no,False,False,3579,in,82,False
46,m,yes,yes,no,yes,yes,False,True,5796,in,66,False
84,m,yes,yes,yes,yes,yes,True,False,1590,in,45,True
17,m,yes,yes,yes,yes,no,True,True,3049,in,14,False
66,m,yes,no,yes,yes,yes,True,True,9547,out,63,False
74,m,yes,yes,no,yes,yes,True,False,2905,in,12,True
87,m,yes,yes,no,yes,yes,True,False,2119,in,47,True
74,m,yes,yes,yes,yes,yes,True,False,2611,out,76,True
96,f,yes,yes,no,yes,yes,True,False,359,out,96,True
75,f,yes,yes,yes,yes,yes,True,False,578,in,10,True
96,f,yes,yes,yes,yes,yes,True,False,1433,out,72,True
40,f,no,no,no,no,no,False,False,7607,in,63,False
73,f,yes,yes,yes,yes,yes,True,False,2048,out,69,True
52,m,yes,no,yes,no,no,True,False,8323,out,42,False
88,f,yes,yes,no,yes,yes,True,True,5663,out,50,False
95,m,yes,yes,yes,no,yes,True,False,2994,in,40,True
92,m,yes,yes,yes,no,yes,True,False,118,out,60,True
19,f,no,yes,yes,no,no,True,True,8165,in,1,False
72,m,yes,no,yes,yes,yes,True,False,1575,out,72,True
92,m,yes,yes,yes,yes,yes,True,False,633,in,22,True
82,f,yes,yes,yes,yes,yes,True,False,1280,in,12,True
83,f,yes,yes,yes,yes,yes,True,False,2687,out,86,True
94,m,yes,yes,yes,no,yes,True,False,2168,in,43,True
39,m,no,yes,yes,no,yes,False,False,1587,in,2,False
93,m,yes,yes,no,yes,yes,True,False,2991,out,62,True
92,m,yes,yes,yes,yes,yes,True,False,1802,out,55,True
76,m,yes,yes,yes,yes,yes,True,False,1512,out,100,True
7,f,yes,no,yes,yes,no,False,False,9235,in,52,False
37,m,no,yes,yes,no,no,False,False,2190,out,37,False
62,f,yes,yes,yes,yes,yes,True,False,2241,in,48,True
6,f,no,no,no,yes,yes,False,True,9629,in,15,False
100,f,yes,yes,yes,yes,yes,True,False,1293,out,100,True
88,m,yes,yes,yes,yes,yes,True,False,2684,out,58,True
98,f,yes,yes,no,yes,yes,True,False,2676,in,8,True
31,m,yes,yes,no,yes,no,False,True,7166,in,53,False
69,m,yes,yes,yes,yes,yes,True,False,2323,out,87,True
61,f,yes,yes,yes,yes,yes,True,False,571,in,18,True
63,f,no,no,no,no,yes,True,True,8083,in,3,False
83,m,yes,no,yes,yes,yes,True,False,1185,in,29,True
77,m,yes,yes,yes,no,yes,True,False,360,out,81,True
96,f,yes,no,yes,yes,yes,False,False,130,out,17,False
15,f,no,yes,yes,no,yes,True,False,3399,out,28,False
10,f,no,yes,yes,yes,yes,False,False,3847,in,83,False
73,f,yes,yes,no,yes,yes,False,False,9771,in,91,False
42,m,yes,no,yes,no,yes,True,True,9353,in,60,False
80,f,no,no,yes,no,no,False,True,6119,out,48,False
29,m,yes,yes,no,yes,yes,True,True,2650,out,61,False
59,f,yes,no,no,no,no,False,True,1382,in,82,False
69,m,yes,yes,yes,yes,yes,True,False,2974,in,12,True
80,f,yes,yes,no,no,yes,True,True,5213,in,69,False
70,f,yes,no,no,yes,no,False,False,9654,in,85,False
14,f,yes,yes,no,no,no,False,False,7352,in,16,False
91,f,no,yes,yes,no,yes,False,True,5487,out,49,False
65,f,yes,yes,no,yes,yes,False,True,430,out,34,False
86,f,yes,yes,yes,yes,yes,True,False,1580,out,65,True
84,m,yes,no,no,no,no,False,True,3588,out,77,False
62,f,yes,no,yes,yes,yes,True,False,132,in,37,True
51,f,no,yes,no,no,yes,True,True,2224,out,70,False
21,f,no,yes,no,yes,yes,True,True,5863,in,41,False
68,m,no,yes,no,no,yes,True,False,3001,in,22,False
93,m,yes,yes,yes,yes,yes,True,False,1510,in,46,True
74,f,no,yes,yes,no,yes,True,True,8362,out,89,False
45,m,yes,no,no,no,no,False,True,2086,in,81,False
8,f,yes,no,no,yes,yes,True,True,5425,in,15,False
66,f,yes,yes,yes,no,yes,True,False,809,out,61,True
83,m,no,no,yes,yes,no,False,True,7174,out,19,False
91,f,yes,yes,yes,yes,yes,True,False,2039,in,7,True
79,m,yes,yes,yes,yes,no,True,False,1881,in,35,True
87,m,yes,yes,yes,yes,yes,True,False,2986,in,42,True
80,m,yes,yes,yes,no,yes,True,False,1787,in,32,True
72,m,yes,yes,yes,yes,yes,True,False,1254,in,4,True
81,f,no,yes,yes,yes,yes,True,False,793,in,20,True
36,f,no,no,yes,no,yes,False,True,4237,out,86,False
86,f,yes,yes,yes,yes,no,True,False,1267,out,57,True
27,m,no,no,no,yes,no,False,False,2314,out,15,False
80,m,yes,yes,yes,yes,yes,True,False,35,out,85,True
84,m,yes,yes,yes,yes,yes,True,False,1813,out,62,True
97,m,yes,no,yes,no,no,False,False,3408,in,37,False
42,m,no,no,no,no,no,False,False,7226,in,70,False
84,m,yes,yes,yes,yes,yes,True,False,2058,in,14,True
92,m,yes,yes,yes,no,yes,True,False,2842,in,19,True
71,f,yes,no,yes,yes,yes,True,False,2141,out,67,True
93,f,yes,yes,yes,yes,yes,True,False,1316,in,4,True
86,f,yes,yes,yes,yes,yes,True,False,2113,out,87,True
34,m,no,no,no,yes,no,False,False,169,in,60,False
65,m,yes,yes,yes,yes,no,True,False,1038,in,45,True
100,f,yes,yes,no,yes,yes,True,False,2293,in,26,True
74,m,yes,yes,yes,yes,no,True,False,400,out,61,True
52,m,no,no,yes,yes,no,False,False,9214,in,96,False
27,m,yes,no,no,no,no,False,True,525,out,40,False
94,m,yes,yes,yes,yes,yes,True,False,2234,out,86,True
70,m,no,no,yes,no,no,False,True,3118,out,6,False
32,f,no,no,no,no,no,False,True,2374,in,98,False
67,m,yes,no,yes,yes,yes,True,False,107,out,88,True
33,m,no,yes,yes,no,no,False,False,6745,out,58,False
31,m,no,no,no,no,no,False,True,792,in,74,False
71,m,no,yes,yes,no,no,True,True,7124,in,92,False
34,m,no,no,yes,no,no,True,True,2008,out,81,False
56,m,no,yes,yes,no,yes,True,False,6719,in,72,False
71,f,no,yes,yes,yes,yes,True,False,1799,in,21,True
